Address,latitude,longitude
"Upper Ground Floor Plot Number 101 Lane No 6  Dwarka Mor Delhi West Delhi, Dwarka Mor, New Delhi - West, Delhi NCR",28.63477325,77.04909515
"Sector 19 Dwarka, New Delhi - Dwarka, Delhi NCR",28.57751279,77.04253534
"Flat no. 1404 Floor 14th Tower Peace  Wing B Sikka Karni Green Sector 78 Noida, Sector 78, Noida, Delhi NCR",28.5604873,77.384084
"Swaroop garden gurgaon, Rajendra Park, Gurgaon, Delhi NCR",28.49748611,77.02713013
"Rr 9 top floor, naveen shahdara., Naveen Shahdara, New Delhi - East, Delhi NCR",28.6761322,77.28523254
"Mahindra Aura, Sector 110 A, Sector 110A, Gurgaon, Delhi NCR",28.513139,77.025952
"Indirapuram, Ghaziabad, Delhi NCR",28.64859324,77.37943921
"E 55B Vishwakarma Colony MB Road New Delhi 110044, Vishwakarma Colony, New Delhi - South, Delhi NCR",28.52402496,77.21276093
"FLAT NO.301FLOOR-3RDBlock-HSECTOR 78-79MAPSKOMOUNTIVILLEGURGAON, Sector 79, Gurgaon, Delhi NCR",28.37423557,76.95241631
"342 Durgapuri Extension Delhi India, Durgapuri Extension, New Delhi - East, Delhi NCR",28.68654251,77.29959869
"flat no 1203 Paras seasons 168 Noida, Sector 168, Noida, Delhi NCR",28.49629327,77.40851995
"15051., Sector 150, Noida, Delhi NCR",28.42491581,77.486721
"Lg3/78., Sector 6 Vaishali, Ghaziabad, Delhi NCR",28.6485885,77.3533389
"Delhi., Subhash Park-Shahdara, New Delhi - East, Delhi NCR",28.68657303,77.29962921
"Kalkaji, New Delhi - South, Delhi NCR",28.54366493,77.25489807
"D 1001 BPTP Freedom Park Life Sector 57 Gurgaon, Sector 57, Gurgaon, Delhi NCR",28.42343946,77.06910666
"C-177, First Floot, Kendriya Vihar, Sector 56, Gurgaon, Kendriya Vihar, Gurgaon, Delhi NCR",28.42451064,77.10132459
"601., Sector 21C, Faridabad, Delhi NCR",28.43034935,77.29561615
"Near Andolan Park, Canara Bank, Savitri Nagar Village, New Delhi - South, Delhi NCR",28.539814,77.21868134
"Shivani enclave old palam road kakrola dwarka., Kakrola, New Delhi - Dwarka, Delhi NCR",28.63474274,77.04910278
"Bhopura, Ghaziabad, Delhi NCR",28.728555,77.337353
"Sector 119, Noida, Delhi NCR",28.58986171,77.40343376
"Sector 53 Vipul Belmonte  Golf Course Road Gurgaon  Flat no.1402 Tower 2, Sector 53, Gurgaon, Delhi NCR",28.44073838,77.10126474
"Raj Nagar Extension, NH 58, Ghaziabad, Uttar Pradesh, India., Raj Nagar, Ghaziabad, Delhi NCR",28.682107,77.4465784
"Sector 27, Greater Noida, Noida, Uttar Pradesh, Sector 27, Greater Noida, Delhi NCR",28.470149,77.535673
